STIMP 3.7?m – Uphill (30?cm past),,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Slope elevation (centimeters),,,,,,,,,,,,,,,,,,,,,,,,,,,
Putt Length (m),0,3,5,8,10,13,15,18,20,23,25,28,30,32,34,36,38,40,42,44,46,48,50,52,54,56,58,60
0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.6,8,11,,,,,,,,,,,,,,,,,,,,,,,,,,
0.9,9,11,13,,,,,,,,,,,,,,,,,,,,,,,,,
1.2,11,11,13,13,,,,,,,,,,,,,,,,,,,,,,,,
1.5,11,13,13,16,16,,,,,,,,,,,,,,,,,,,,,,,
1.8,13,13,16,16,16,19,,,,,,,,,,,,,,,,,,,,,,
2.1,13,13,16,16,16,19,19,,,,,,,,,,,,,,,,,,,,,
2.4,13,16,16,16,19,19,19,22,,,,,,,,,,,,,,,,,,,,
2.7,16,16,16,19,19,19,19,22,22,,,,,,,,,,,,,,,,,,,
3,16,16,19,19,19,19,22,22,22,22,,,,,,,,,,,,,,,,,,
3.3,16,19,19,19,19,22,22,22,22,25,25,,,,,,,,,,,,,,,,,
3.6,19,19,19,19,22,22,22,22,25,25,25,25,,,,,,,,,,,,,,,,
3.9,19,19,19,22,22,22,22,22,25,25,25,25,25,25,25,29,29,29,29,31,31,31,31,31,31,31,31,31
4.2,19,19,22,22,22,22,22,25,25,25,25,25,25,25,29,29,29,29,31,31,31,31,31,31,31,31,31,35
4.5,19,22,22,22,22,22,25,25,25,25,25,25,25,29,29,29,29,31,31,31,31,31,31,31,31,31,35,35
4.8,19,22,22,22,22,25,25,25,25,25,25,25,29,29,29,29,31,31,31,31,31,31,31,31,31,35,35,35
5.1,22,22,22,22,25,25,25,25,25,25,25,29,29,29,29,31,31,31,31,31,31,31,31,31,35,35,35,35
5.4,22,22,22,25,25,25,25,25,25,25,29,29,29,29,31,31,31,31,31,31,31,31,31,35,35,35,35,35
5.7,22,22,25,25,25,25,25,25,25,29,29,29,29,31,31,31,31,31,31,31,31,31,35,35,35,35,35,35
6,22,25,25,25,25,25,25,25,29,29,29,29,31,31,31,31,31,31,31,31,31,35,35,35,35,35,35,38
6.3,25,25,25,25,25,25,25,29,29,29,29,31,31,31,31,31,31,31,31,31,35,35,35,35,35,35,38,38
6.6,25,25,25,25,25,25,29,29,29,29,31,31,31,31,31,31,31,31,31,35,35,35,35,35,35,38,38,38
6.9,25,25,25,25,25,29,29,29,29,31,31,31,31,31,31,31,31,31,35,35,35,35,35,35,38,38,38,38
7.2,25,25,25,25,29,29,29,29,31,31,31,31,31,31,31,31,31,35,35,35,35,35,35,38,38,38,38,38
7.5,25,25,25,29,29,29,29,31,31,31,31,31,31,31,31,31,35,35,35,35,35,35,38,38,38,38,38,38
7.8,25,25,29,29,29,29,31,31,31,31,31,31,31,31,31,35,35,35,35,35,35,38,38,38,38,38,38,41
8.1,25,29,29,29,29,31,31,31,31,31,31,31,31,31,35,35,35,35,35,35,38,38,38,38,38,38,41,41
8.4,29,29,29,29,31,31,31,31,31,31,31,31,31,35,35,35,35,35,35,38,38,38,38,38,38,41,41,41
8.7,29,29,29,31,31,31,31,31,31,31,31,31,35,35,35,35,35,35,38,38,38,38,38,38,41,41,41,41
9,29,29,31,31,31,31,31,31,31,31,31,35,35,35,35,35,35,38,38,38,38,38,38,41,41,41,41,41
9.3,29,31,31,31,31,31,31,31,31,31,35,35,35,35,35,35,38,38,38,38,38,38,41,41,41,41,41,41
9.6,31,31,31,31,31,31,31,31,31,35,35,35,35,35,35,38,38,38,38,38,38,41,41,41,41,41,41,44
9.9,31,31,31,31,31,31,31,31,35,35,35,35,35,35,38,38,38,38,38,38,41,41,41,41,41,41,44,44
10.2,31,31,31,31,31,31,31,35,35,35,35,35,35,38,38,38,38,38,38,41,41,41,41,41,41,44,44,44
10.5,31,31,31,31,31,31,35,35,35,35,35,35,38,38,38,38,38,38,41,41,41,41,41,41,44,44,44,44
10.8,31,31,31,31,31,35,35,35,35,35,35,38,38,38,38,38,38,41,41,41,41,41,41,44,44,44,44,44
11.1,31,31,31,31,35,35,35,35,35,35,38,38,38,38,38,38,41,41,41,41,41,41,44,44,44,44,44,44
11.4,31,31,31,35,35,35,35,35,35,38,38,38,38,38,38,41,41,41,41,41,41,44,44,44,44,44,44,47
11.7,31,31,35,35,35,35,35,35,38,38,38,38,38,38,41,41,41,41,41,41,44,44,44,44,44,44,47,47
12,31,35,35,35,35,35,35,38,38,38,38,38,38,41,41,41,41,41,41,44,44,44,44,44,44,47,47,47
12.3,35,35,35,35,35,35,38,38,38,38,38,38,41,41,41,41,41,41,44,44,44,44,44,44,47,47,47,47
12.6,35,35,35,35,35,38,38,38,38,38,38,41,41,41,41,41,41,44,44,44,44,44,44,47,47,47,47,47
12.9,35,35,35,35,38,38,38,38,38,38,41,41,41,41,41,41,44,44,44,44,44,44,47,47,47,47,47,47
13.2,35,35,35,38,38,38,38,38,38,41,41,41,41,41,41,44,44,44,44,44,44,47,47,47,47,47,47,50
13.5,35,35,38,38,38,38,38,38,41,41,41,41,41,41,44,44,44,44,44,44,47,47,47,47,47,47,50,50
13.8,35,38,38,38,38,38,38,41,41,41,41,41,41,44,44,44,44,44,44,47,47,47,47,47,47,50,50,50
14.1,38,38,38,38,38,38,41,41,41,41,41,41,44,44,44,44,44,44,47,47,47,47,47,47,50,50,50,50
14.4,38,38,38,38,38,41,41,41,41,41,41,44,44,44,44,44,44,47,47,47,47,47,47,50,50,50,50,50
14.7,38,38,38,38,41,41,41,41,41,41,44,44,44,44,44,44,47,47,47,47,47,47,50,50,50,50,50,50
15,38,38,38,41,41,41,41,41,41,44,44,44,44,44,44,47,47,47,47,47,47,50,50,50,50,50,50,53
15.3,38,38,41,41,41,41,41,41,44,44,44,44,44,44,47,47,47,47,47,47,50,50,50,50,50,50,53,53
15.6,38,41,41,41,41,41,41,44,44,44,44,44,44,47,47,47,47,47,47,50,50,50,50,50,50,53,53,53
15.9,41,41,41,41,41,41,44,44,44,44,44,44,47,47,47,47,47,47,50,50,50,50,50,50,53,53,53,53
16.2,41,41,41,41,41,44,44,44,44,44,44,47,47,47,47,47,47,50,50,50,50,50,50,53,53,53,53,53
16.5,41,41,41,41,44,44,44,44,44,44,47,47,47,47,47,47,50,50,50,50,50,50,53,53,53,53,53,53
