STIMP 3.4?m – Downhill (30?cm past),,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Slope elevation (centimeters),,,,,,,,,,,,,,,,,,,,,,,,,,,
Putt Length (m),0,3,5,8,10,13,15,18,20,23,25,28,30,32,34,36,38,40,42,44,46,48,50,52,54,56,58,60
0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.6,8,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.9,10,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.2,11,8,,,,,,,,,,,,,,,,,,,,,,,,,,
1.5,11,11,8,,,,,,,,,,,,,,,,,,,,,,,,,
1.8,14,11,11,8,,,,,,,,,,,,,,,,,,,,,,,,
2.1,14,14,11,11,8,,,,,,,,,,,,,,,,,,,,,,,
2.4,14,14,14,11,11,8,,,,,,,,,,,,,,,,,,,,,,
2.7,17,14,14,14,11,11,8,,,,,,,,,,,,,,,,,,,,,
3,17,17,14,14,14,11,11,8,,,,,,,,,,,,,,,,,,,,
3.3,19,17,17,14,14,14,11,11,8,,,,,,,,,,,,,,,,,,,
3.6,19,19,17,17,14,14,14,11,11,8,8,,,,,,,,,,,,,,,,,
3.9,19,19,19,17,17,14,14,14,11,11,10,8,,,,,,,,,,,,,,,,
4.2,19,19,19,19,17,17,14,14,14,11,11,10,8,,,,,,,,,,,,,,,
4.5,22,19,19,19,19,17,17,14,14,14,11,11,10,8,,,,,,,,,,,,,,
4.8,22,22,19,19,19,19,17,17,14,14,14,11,11,10,8,,,,,,,,,,,,,
5.1,22,22,22,19,19,19,19,17,17,14,14,14,11,11,10,8,,,,,,,,,,,,
5.4,22,22,22,22,19,19,19,19,17,17,14,14,14,11,11,10,8,,,,,,,,,,,
5.7,22,22,22,22,22,19,19,19,19,17,17,14,14,14,11,11,10,8,,,,,,,,,,
6,25,22,22,22,22,22,19,19,19,19,17,17,14,14,14,11,11,10,8,,,,,,,,,
6.3,25,25,25,22,22,22,22,19,19,19,19,17,17,14,14,14,11,11,10,8,,,,,,,,
6.6,25,25,25,25,22,22,22,22,19,19,19,19,17,17,14,14,14,11,11,10,8,,,,,,,
6.9,25,25,25,25,25,22,22,22,22,19,19,19,19,17,17,14,14,14,11,11,10,8,,,,,,
7.2,25,25,25,25,25,25,22,22,22,22,19,19,19,19,17,17,14,14,14,11,11,10,8,,,,,
7.5,25,25,25,25,25,25,25,22,22,22,22,19,19,19,19,17,17,14,14,14,11,11,10,8,,,,
7.8,29,25,25,25,25,25,25,25,22,22,22,22,19,19,19,19,17,17,14,14,14,11,11,10,8,,,
8.1,29,29,25,25,25,25,25,25,25,22,22,22,22,19,19,19,19,17,17,14,14,14,11,11,10,8,,
8.4,29,29,29,25,25,25,25,25,25,25,22,22,22,22,19,19,19,19,17,17,14,14,14,11,11,10,8,
8.7,29,29,29,29,25,25,25,25,25,25,25,22,22,22,22,19,19,19,19,17,17,14,14,14,11,11,10,8
9,31,29,29,29,29,25,25,25,25,25,25,25,22,22,22,22,19,19,19,19,17,17,14,14,14,11,11,10
9.3,31,31,29,29,29,29,29,25,25,25,25,25,25,22,22,22,22,19,19,19,19,17,17,14,14,14,11,11
9.6,31,31,31,29,29,29,29,29,25,25,25,25,25,25,22,22,22,22,19,19,19,19,17,17,14,14,14,11
9.9,31,31,31,31,29,29,29,29,29,25,25,25,25,25,25,22,22,22,22,19,19,19,19,17,17,14,14,14
10.2,31,31,31,31,31,29,29,29,29,29,25,25,25,25,25,25,22,22,22,22,19,19,19,19,17,17,14,14
10.5,34,31,31,31,31,31,31,29,29,29,29,25,25,25,25,25,25,22,22,22,22,19,19,19,19,17,17,14
10.8,34,34,31,31,31,31,31,31,29,29,29,29,25,25,25,25,25,25,22,22,22,22,19,19,19,19,17,17
11.1,34,34,34,31,31,31,31,31,31,29,29,29,29,25,25,25,25,25,25,22,22,22,22,19,19,19,19,17
11.4,34,34,34,34,31,31,31,31,31,31,29,29,29,29,25,25,25,25,25,25,22,22,22,22,19,19,19,19
11.7,34,34,34,34,34,31,31,31,31,31,31,29,29,29,29,25,25,25,25,25,25,22,22,22,22,19,19,19
12,37,34,34,34,34,34,31,31,31,31,31,31,29,29,29,29,25,25,25,25,25,25,22,22,22,22,19,19
12.3,37,37,34,34,34,34,34,31,31,31,31,31,31,29,29,29,29,25,25,25,25,25,25,22,22,22,22,19
12.6,37,37,37,34,34,34,34,34,31,31,31,31,31,31,29,29,29,29,25,25,25,25,25,25,22,22,22,22
12.9,37,37,37,37,34,34,34,34,34,31,31,31,31,31,31,29,29,29,29,25,25,25,25,25,25,22,22,22
13.2,37,37,37,37,37,34,34,34,34,34,31,31,31,31,31,31,29,29,29,29,25,25,25,25,25,25,22,22
13.5,40,37,37,37,37,37,34,34,34,34,34,31,31,31,31,31,31,29,29,29,29,25,25,25,25,25,25,22
13.8,40,40,37,37,37,37,37,34,34,34,34,34,31,31,31,31,31,31,29,29,29,29,25,25,25,25,25,25
14.1,40,40,40,37,37,37,37,37,34,34,34,34,34,31,31,31,31,31,31,29,29,29,29,25,25,25,25,25
14.4,40,40,40,40,37,37,37,37,37,34,34,34,34,34,31,31,31,31,31,31,29,29,29,29,25,25,25,25
14.7,40,40,40,40,40,37,37,37,37,37,34,34,34,34,34,31,31,31,31,31,31,29,29,29,29,25,25,25
15,43,40,40,40,40,40,37,37,37,37,37,34,34,34,34,34,31,31,31,31,31,31,29,29,29,29,25,25
15.3,43,43,40,40,40,40,40,37,37,37,37,37,34,34,34,34,34,31,31,31,31,31,31,29,29,29,29,25
15.6,43,43,43,40,40,40,40,40,37,37,37,37,37,34,34,34,34,34,31,31,31,31,31,31,29,29,29,29
15.9,43,43,43,43,40,40,40,40,40,37,37,37,37,37,34,34,34,34,34,31,31,31,31,31,31,29,29,29
16.2,43,43,43,43,43,40,40,40,40,40,37,37,37,37,37,34,34,34,34,34,31,31,31,31,31,31,29,29
16.5,46,43,43,43,43,43,40,40,40,40,40,37,37,37,37,37,34,34,34,34,34,31,31,31,31,31,31,29
16.8,46,46,43,43,43,43,43,40,40,40,40,40,37,37,37,37,37,34,34,34,34,34,31,31,31,31,31,31
17.1,46,46,46,43,43,43,43,43,40,40,40,40,40,37,37,37,37,37,34,34,34,34,34,31,31,31,31,31
