STIMP 4.6?m – Downhill (15?cm past),,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Slope elevation (centimeters),,,,,,,,,,,,,,,,,,,,,,,,,,,
Putt Length (m),0,3,5,8,10,13,15,18,20,23,25,28,30,32,34,36,38,40,42,44,46,48,50,52,54,56,58,60
0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.9,7,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.2,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,
1.5,10,7,6,,,,,,,,,,,,,,,,,,,,,,,,,
1.8,10,10,7,,,,,,,,,,,,,,,,,,,,,,,,,
2.1,10,10,7,7,,,,,,,,,,,,,,,,,,,,,,,,
2.4,13,10,10,7,7,,,,,,,,,,,,,,,,,,,,,,,
2.7,13,13,10,10,7,6,,,,,,,,,,,,,,,,,,,,,,
3,13,13,10,10,10,7,6,,,,,,,,,,,,,,,,,,,,,
3.3,16,13,13,10,10,7,7,,,,,,,,,,,,,,,,,,,,,
3.6,16,13,13,13,10,10,7,7,,,,,,,,,,,,,,,,,,,,
3.9,16,16,13,13,13,10,10,7,7,,,,,,,,,,,,,,,,,,,
4.2,16,16,16,13,13,13,10,10,7,6,,,,,,,,,,,,,,,,,,
4.5,16,16,16,16,13,13,10,10,10,7,,,,,,,,,,,,,,,,,,
4.8,19,16,16,16,13,13,13,10,10,7,7,,,,,,,,,,,,,,,,,
5.1,19,19,16,16,16,13,13,13,10,10,7,7,,,,,,,,,,,,,,,,
5.4,19,19,19,16,16,16,13,13,13,10,10,7,6,,,,,,,,,,,,,,,
5.7,19,19,19,16,16,16,16,13,13,10,10,10,7,6,,,,,,,,,,,,,,
6,19,19,19,19,16,16,16,13,13,13,10,10,7,7,6,,,,,,,,,,,,,
6.3,22,19,19,19,19,16,16,16,13,13,13,10,10,7,7,6,,,,,,,,,,,,
6.6,22,22,19,19,19,19,16,16,16,13,13,13,10,10,7,7,6,,,,,,,,,,,
6.9,22,22,19,19,19,19,16,16,16,16,13,13,13,10,10,7,7,6,,,,,,,,,,
7.2,22,22,22,19,19,19,19,16,16,16,16,13,13,13,10,10,7,7,6,,,,,,,,,
7.5,22,22,22,22,19,19,19,19,16,16,16,13,13,13,13,10,10,7,7,6,,,,,,,,
7.8,22,22,22,22,22,19,19,19,19,16,16,16,13,13,13,13,10,10,7,7,6,,,,,,,
8.1,25,22,22,22,22,22,19,19,19,19,16,16,16,13,13,13,13,10,10,7,7,6,,,,,,
8.4,25,25,22,22,22,22,19,19,19,19,16,16,16,16,13,13,13,13,10,10,7,7,6,,,,,
8.7,25,25,25,22,22,22,22,19,19,19,19,16,16,16,16,13,13,13,13,10,10,7,7,6,,,,
9,25,25,25,22,22,22,22,22,19,19,19,19,16,16,16,16,13,13,13,13,10,10,7,7,6,,,
9.3,25,25,25,22,22,22,22,22,22,19,19,19,16,16,16,16,16,13,13,13,13,10,10,7,7,6,,
9.6,25,25,25,25,25,22,22,22,22,22,19,19,19,16,16,16,16,16,13,13,13,13,10,10,7,7,6,
9.9,28,25,25,25,25,25,22,22,22,22,22,19,19,19,16,16,16,16,16,13,13,13,13,10,10,7,7,6
10.2,28,28,25,25,25,25,25,22,22,22,22,19,19,19,19,16,16,16,16,16,13,13,13,13,10,10,7,7
10.5,28,28,28,25,25,25,25,25,22,22,22,22,19,19,19,19,16,16,16,16,16,13,13,13,13,10,10,7
10.8,28,28,28,28,25,25,25,25,25,22,22,22,19,19,19,19,19,16,16,16,16,16,13,13,13,13,10,10
11.1,28,28,28,28,28,25,25,25,25,25,22,22,22,19,19,19,19,19,16,16,16,16,16,13,13,13,13,10
11.4,28,28,28,28,28,28,25,25,25,25,22,22,22,22,19,19,19,19,19,16,16,16,16,16,13,13,13,13
11.7,31,28,28,28,28,28,28,25,25,25,25,22,22,22,22,19,19,19,19,19,16,16,16,16,16,13,13,13
12,31,31,28,28,28,28,28,28,25,25,25,22,22,22,22,22,19,19,19,19,19,16,16,16,16,16,13,13
12.3,31,31,31,28,28,28,28,28,28,25,25,25,22,22,22,22,22,19,19,19,19,19,16,16,16,16,16,13
12.6,31,31,31,31,28,28,28,28,28,28,25,25,25,22,22,22,22,22,19,19,19,19,19,16,16,16,16,16
12.9,31,31,31,31,31,28,28,28,28,28,25,25,25,25,22,22,22,22,22,19,19,19,19,19,16,16,16,16
13.2,31,31,31,31,31,31,28,28,28,28,28,25,25,25,25,22,22,22,22,22,19,19,19,19,19,16,16,16
13.5,34,31,31,31,31,31,31,28,28,28,28,28,25,25,25,25,22,22,22,22,22,19,19,19,19,19,16,16
13.8,34,34,31,31,31,31,31,31,28,28,28,28,28,25,25,25,25,22,22,22,22,22,19,19,19,19,19,16
14.1,34,34,34,31,31,31,31,31,31,28,28,28,28,28,25,25,25,25,22,22,22,22,22,19,19,19,19,19
14.4,34,34,34,34,31,31,31,31,31,31,28,28,28,28,28,25,25,25,25,22,22,22,22,22,19,19,19,19
14.7,34,34,34,34,34,31,31,31,31,31,28,28,28,28,28,28,25,25,25,25,22,22,22,22,22,19,19,19
15,34,34,34,34,34,34,31,31,31,31,31,28,28,28,28,28,28,25,25,25,25,22,22,22,22,22,19,19
15.3,37,34,34,34,34,34,34,31,31,31,31,31,28,28,28,28,28,28,25,25,25,25,22,22,22,22,22,19
15.6,37,37,34,34,34,34,34,34,31,31,31,31,31,28,28,28,28,28,28,25,25,25,25,22,22,22,22,22
15.9,37,37,37,34,34,34,34,34,34,31,31,31,31,31,28,28,28,28,28,28,25,25,25,25,22,22,22,22
16.2,37,37,37,37,34,34,34,34,34,34,31,31,31,31,31,28,28,28,28,28,28,25,25,25,25,22,22,22
16.5,37,37,37,37,37,34,34,34,34,34,31,31,31,31,31,31,28,28,28,28,28,28,25,25,25,25,22,22
16.8,37,37,37,37,37,37,34,34,34,34,34,31,31,31,31,31,31,28,28,28,28,28,28,25,25,25,25,22
17.1,40,37,37,37,37,37,37,34,34,34,34,34,31,31,31,31,31,31,28,28,28,28,28,28,25,25,25,25
17.4,40,40,37,37,37,37,37,37,34,34,34,34,34,31,31,31,31,31,31,28,28,28,28,28,28,25,25,25
17.7,40,40,40,37,37,37,37,37,37,34,34,34,34,34,31,31,31,31,31,31,28,28,28,28,28,28,25,25
